X,n,K,primes,certificate
512,140703,3,593;709;887,"p=593,r=162,rho=162,q=237,a=379,e=450,t=122,h=342,j=28 | p=709,r=321,rho=321,q=198,a=494,e=35,t=559,h=618,j=677 | p=887,r=557,rho=329,q=158,a=766,e=225,t=168,h=406,j=839"
512,146606,3,541;571;769,"p=541,r=536,rho=4,q=270,a=61,e=129,t=351,h=423,j=504 | p=571,r=430,rho=140,q=256,a=282,e=339,t=540,h=66,j=241 | p=769,r=496,rho=272,q=190,a=33,e=455,t=643,h=360,j=27"
512,151220,3,599;769;937,"p=599,r=272,rho=272,q=252,a=359,e=71,t=289,h=516,j=470 | p=769,r=496,rho=272,q=196,a=33,e=455,t=643,h=360,j=177 | p=937,r=363,rho=363,q=161,a=744,e=221,t=501,h=742,j=219"
512,156106,3,659;733;953,"p=659,r=582,rho=76,q=236,a=8,e=300,t=500,h=298,j=449 | p=733,r=710,rho=22,q=212,a=691,e=389,t=654,h=435,j=576 | p=953,r=767,rho=185,q=163,a=284,e=454,t=125,h=126,j=551"
512,189737,3,599;617;911,"p=599,r=453,rho=145,q=316,a=199,e=145,t=421,h=379,j=424 | p=617,r=318,rho=298,q=307,a=27,e=57,t=52,h=384,j=53 | p=911,r=249,rho=249,q=208,a=609,e=372,t=104,h=620,j=833"
512,195680,3,701;821;947,"p=701,r=101,rho=101,q=279,a=48,e=668,t=6,h=434,j=605 | p=821,r=282,rho=282,q=238,a=162,e=780,t=474,h=549,j=757 | p=947,r=598,rho=348,q=206,a=330,e=316,t=88,h=905,j=474"
512,219301,3,709;881;911,"p=709,r=220,rho=220,q=309,a=200,e=170,t=45,h=570,j=472 | p=881,r=813,rho=67,q=248,a=249,e=456,t=227,h=628,j=514 | p=911,r=661,rho=249,q=240,a=609,e=372,t=104,h=620,j=291"
512,220182,3,541;659;881,"p=541,r=536,rho=4,q=406,a=61,e=129,t=351,h=423,j=328 | p=659,r=76,rho=76,q=334,a=8,e=300,t=500,h=298,j=118 | p=881,r=813,rho=67,q=249,a=249,e=456,t=227,h=628,j=786"
512,229328,3,593;701;709,"p=593,r=430,rho=162,q=386,a=379,e=450,t=122,h=342,j=113 | p=701,r=101,rho=101,q=327,a=48,e=668,t=6,h=434,j=399 | p=709,r=321,rho=321,q=323,a=494,e=35,t=559,h=618,j=388"
512,230427,3,631;769;977,"p=631,r=112,rho=112,q=365,a=204,e=315,t=120,h=408,j=51 | p=769,r=496,rho=272,q=299,a=33,e=455,t=643,h=360,j=169 | p=977,r=832,rho=144,q=235,a=916,e=720,t=935,h=752,j=61"
512,240445,3,857;881;937,"p=857,r=485,rho=371,q=280,a=618,e=776,t=269,h=335,j=224 | p=881,r=813,rho=67,q=272,a=249,e=456,t=227,h=628,j=142 | p=937,r=573,rho=363,q=256,a=744,e=221,t=501,h=742,j=155"
512,247731,3,691;733;937,"p=691,r=353,rho=337,q=358,a=67,e=394,t=662,h=242,j=668 | p=733,r=710,rho=22,q=337,a=691,e=389,t=654,h=435,j=325 | p=937,r=363,rho=363,q=264,a=744,e=221,t=501,h=742,j=796"
512,259185,3,577;857;937,"p=577,r=112,rho=112,q=449,a=426,e=199,t=292,h=196,j=42 | p=857,r=371,rho=371,q=302,a=618,e=776,t=269,h=335,j=278 | p=937,r=573,rho=363,q=276,a=744,e=221,t=501,h=742,j=792"
1024,1773,3,1229;1427;1823,"p=1229,r=544,rho=544,q=1,a=195,e=594,t=557,h=203,j=463 | p=1427,r=346,rho=346,q=1,a=611,e=128,t=460,h=1131,j=988 | p=1823,r=1773,rho=49,q=0,a=475,e=293,t=1416,h=1618,j=768"
1024,4325,3,1193;1907;1951,"p=1193,r=746,rho=446,q=3,a=342,e=211,t=158,h=837,j=622 | p=1907,r=511,rho=511,q=2,a=676,e=1164,t=964,h=1028,j=1452 | p=1951,r=423,rho=423,q=2,a=216,e=1571,t=1198,h=566,j=1012"
1024,5518,3,1193;1489;1823,"p=1193,r=746,rho=446,q=4,a=342,e=211,t=158,h=837,j=105 | p=1489,r=1051,rho=437,q=3,a=444,e=122,t=76,h=316,j=684 | p=1823,r=49,rho=49,q=3,a=475,e=293,t=1416,h=1618,j=1403"
1024,15468,4,1069;1381;1847;2011,"p=1069,r=502,rho=502,q=14,a=369,e=358,t=299,h=180,j=867 | p=1381,r=277,rho=277,q=11,a=317,e=477,t=993,h=13,j=380 | p=1847,r=692,rho=692,q=8,a=1394,e=567,t=282,h=173,j=1268 | p=2011,r=1391,rho=619,q=7,a=530,e=564,t=1669,h=615,j=171"
1024,100215,3,1823;1949;1973,"p=1823,r=1773,rho=49,q=54,a=475,e=293,t=1416,h=1618,j=1807 | p=1949,r=816,rho=816,q=51,a=835,e=1380,t=13,h=1527,j=1500 | p=1973,r=1565,rho=407,q=50,a=308,e=536,t=1578,h=850,j=1118"
1024,127256,3,1087;1259;1831,"p=1087,r=77,rho=77,q=117,a=650,e=24,t=184,h=562,j=336 | p=1259,r=97,rho=97,q=101,a=1251,e=671,t=260,h=225,j=1208 | p=1831,r=917,rho=913,q=69,a=1172,e=1615,t=712,h=75,j=282"
1024,149393,3,1117;1229;1709,"p=1117,r=832,rho=284,q=133,a=458,e=604,t=975,h=959,j=923 | p=1229,r=684,rho=544,q=121,a=195,e=594,t=557,h=203,j=668 | p=1709,r=710,rho=710,q=87,a=983,e=1271,t=570,h=471,j=1046"
1024,152257,3,1069;1087;1193,"p=1069,r=459,rho=459,q=142,a=253,e=337,t=799,h=984,j=1032 | p=1087,r=77,rho=77,q=140,a=650,e=24,t=184,h=562,j=131 | p=1193,r=746,rho=446,q=127,a=342,e=211,t=158,h=837,j=856"
1024,153013,3,1381;1499;1619,"p=1381,r=1103,rho=277,q=110,a=317,e=477,t=993,h=13,j=433 | p=1499,r=115,rho=115,q=102,a=1150,e=142,t=756,h=487,j=961 | p=1619,r=827,rho=791,q=94,a=924,e=1577,t=726,h=1586,j=1094"
1024,177538,3,1129;1453;1741,"p=1129,r=285,rho=285,q=157,a=1060,e=308,t=659,h=609,j=430 | p=1453,r=272,rho=272,q=122,a=263,e=595,t=1000,h=953,j=796 | p=1741,r=1697,rho=43,q=101,a=598,e=437,t=13,h=880,j=661"
1024,195824,3,1381;1531;1709,"p=1381,r=1103,rho=277,q=141,a=317,e=477,t=993,h=13,j=963 | p=1531,r=1387,rho=143,q=127,a=1453,e=352,t=1070,h=1099,j=762 | p=1709,r=998,rho=710,q=114,a=983,e=1271,t=570,h=471,j=105"
1024,211520,3,1097;1637;1873,"p=1097,r=896,rho=200,q=192,a=206,e=689,t=465,h=634,j=771 | p=1637,r=347,rho=347,q=129,a=60,e=642,t=1606,h=1469,j=1211 | p=1873,r=1744,rho=128,q=112,a=884,e=1703,t=1098,h=77,j=45"
1024,214186,3,1741;1847;1951,"p=1741,r=43,rho=43,q=123,a=598,e=437,t=13,h=880,j=1286 | p=1847,r=1781,rho=65,q=115,a=1435,e=1767,t=1317,h=184,j=1004 | p=1951,r=1527,rho=423,q=109,a=216,e=1571,t=1198,h=566,j=65"
1024,242400,3,1559;1723;1831,"p=1559,r=755,rho=755,q=155,a=1545,e=613,t=1056,h=755,j=6 | p=1723,r=1180,rho=542,q=140,a=1346,e=366,t=396,h=1270,j=329 | p=1831,r=708,rho=708,q=132,a=592,e=1194,t=1751,h=383,j=978"
1024,248190,3,1453;1847;1973,"p=1453,r=1180,rho=272,q=170,a=263,e=595,t=1000,h=953,j=1177 | p=1847,r=692,rho=692,q=134,a=1394,e=567,t=282,h=173,j=559 | p=1973,r=1565,rho=407,q=125,a=308,e=536,t=1578,h=850,j=1436"
1024,252786,3,1069;1201;1447,"p=1069,r=502,rho=502,q=236,a=369,e=358,t=299,h=180,j=232 | p=1201,r=576,rho=576,q=210,a=889,e=204,t=199,h=378,j=449 | p=1447,r=1008,rho=438,q=174,a=1264,e=941,t=7,h=1071,j=1391"
1024,253313,3,1049;1559;1621,"p=1049,r=504,rho=504,q=241,a=601,e=457,t=252,h=333,j=640 | p=1559,r=755,rho=755,q=162,a=1545,e=613,t=1056,h=755,j=314 | p=1621,r=437,rho=437,q=156,a=826,e=18,t=204,h=1335,j=354"
1024,258633,3,1297;1427;1487,"p=1297,r=530,rho=530,q=199,a=828,e=878,t=442,h=193,j=914 | p=1427,r=346,rho=346,q=181,a=611,e=128,t=460,h=1131,j=485 | p=1487,r=1382,rho=104,q=173,a=716,e=579,t=1360,h=1241,j=1246"
1024,260710,3,1259;1499;1831,"p=1259,r=97,rho=97,q=207,a=1251,e=671,t=260,h=225,j=25 | p=1499,r=1383,rho=115,q=173,a=1150,e=142,t=756,h=487,j=768 | p=1831,r=708,rho=708,q=142,a=592,e=1194,t=1751,h=383,j=467"
1024,262667,3,1153;1381;1559,"p=1153,r=936,rho=216,q=227,a=27,e=300,t=1123,h=51,j=1060 | p=1381,r=277,rho=277,q=190,a=317,e=477,t=993,h=13,j=926 | p=1559,r=755,rho=755,q=168,a=1545,e=613,t=1056,h=755,j=850"
1024,285882,3,1049;1069;1669,"p=1049,r=554,rho=494,q=272,a=876,e=668,t=365,h=628,j=231 | p=1069,r=459,rho=459,q=267,a=253,e=337,t=799,h=984,j=101 | p=1669,r=483,rho=483,q=171,a=1550,e=410,t=1653,h=1654,j=1023"
1024,286480,3,1129;1427;1931,"p=1129,r=843,rho=285,q=253,a=1060,e=308,t=659,h=609,j=270 | p=1427,r=1080,rho=346,q=200,a=611,e=128,t=460,h=1131,j=543 | p=1931,r=692,rho=692,q=148,a=1927,e=519,t=1227,h=587,j=1243"
1024,320387,3,1657;1741;1951,"p=1657,r=586,rho=586,q=193,a=1069,e=323,t=1609,h=94,j=1352 | p=1741,r=43,rho=43,q=184,a=598,e=437,t=13,h=880,j=1244 | p=1951,r=423,rho=423,q=164,a=216,e=1571,t=1198,h=566,j=238"
1024,337237,3,1049;1069;1759,"p=1049,r=508,rho=508,q=321,a=6,e=468,t=190,h=134,j=880 | p=1069,r=502,rho=502,q=315,a=369,e=358,t=299,h=180,j=188 | p=1759,r=1268,rho=490,q=191,a=1352,e=1560,t=1445,h=1532,j=1054"
1024,361360,3,1049;1873;2011,"p=1049,r=504,rho=504,q=344,a=601,e=457,t=252,h=333,j=897 | p=1873,r=1744,rho=128,q=192,a=884,e=1703,t=1098,h=77,j=1062 | p=2011,r=1391,rho=619,q=179,a=530,e=564,t=1669,h=615,j=562"
1024,365697,3,1129;1229;1487,"p=1129,r=1030,rho=98,q=323,a=17,e=918,t=373,h=949,j=96 | p=1229,r=684,rho=544,q=297,a=195,e=594,t=557,h=203,j=212 | p=1487,r=1382,rho=104,q=245,a=716,e=579,t=1360,h=1241,j=1179"
1024,389719,3,1049;1381;2011,"p=1049,r=540,rho=508,q=371,a=6,e=468,t=190,h=134,j=254 | p=1381,r=277,rho=277,q=282,a=317,e=477,t=993,h=13,j=705 | p=2011,r=1596,rho=414,q=193,a=636,e=1474,t=373,h=1402,j=1945"
1024,390732,3,1049;1097;1129,"p=1049,r=504,rho=504,q=372,a=601,e=457,t=252,h=333,j=241 | p=1097,r=200,rho=200,q=356,a=206,e=689,t=465,h=634,j=144 | p=1129,r=98,rho=98,q=346,a=17,e=918,t=373,h=949,j=347"
1024,397093,3,1471;1657;1931,"p=1471,r=1394,rho=76,q=269,a=128,e=1281,t=1405,h=52,j=1093 | p=1657,r=1070,rho=586,q=239,a=1069,e=323,t=1609,h=94,j=562 | p=1931,r=1238,rho=692,q=205,a=1927,e=519,t=1227,h=587,j=1091"
1024,402977,3,1259;1471;1559,"p=1259,r=97,rho=97,q=320,a=1251,e=671,t=260,h=225,j=294 | p=1471,r=1394,rho=76,q=273,a=128,e=1281,t=1405,h=52,j=172 | p=1559,r=755,rho=755,q=258,a=1545,e=613,t=1056,h=755,j=1387"
1024,423121,3,1259;1657;1709,"p=1259,r=97,rho=97,q=336,a=1251,e=671,t=260,h=225,j=36 | p=1657,r=586,rho=586,q=255,a=1069,e=323,t=1609,h=94,j=1305 | p=1709,r=998,rho=710,q=247,a=983,e=1271,t=570,h=471,j=1679"
1024,424409,3,1447;1669;1759,"p=1447,r=438,rho=438,q=293,a=1264,e=941,t=7,h=1071,j=1131 | p=1669,r=483,rho=483,q=254,a=1550,e=410,t=1653,h=1654,j=42 | p=1759,r=490,rho=490,q=241,a=1352,e=1560,t=1445,h=1532,j=370"
1024,431679,3,1049;1069;1973,"p=1049,r=540,rho=508,q=411,a=6,e=468,t=190,h=134,j=1022 | p=1069,r=872,rho=196,q=403,a=848,e=326,t=477,h=317,j=245 | p=1973,r=1565,rho=407,q=218,a=308,e=536,t=1578,h=850,j=1363"
1024,436191,3,1193;1531;1907,"p=1193,r=746,rho=446,q=365,a=342,e=211,t=158,h=837,j=830 | p=1531,r=1387,rho=143,q=284,a=1453,e=352,t=1070,h=1099,j=548 | p=1907,r=1395,rho=511,q=228,a=676,e=1164,t=964,h=1028,j=404"
1024,446679,3,1087;1097;1433,"p=1087,r=1009,rho=77,q=410,a=650,e=24,t=184,h=562,j=20 | p=1097,r=200,rho=200,q=407,a=206,e=689,t=465,h=634,j=229 | p=1433,r=1016,rho=416,q=311,a=1211,e=1157,t=1388,h=525,j=451"
1024,447833,3,1217;1621;2011,"p=1217,r=1194,rho=22,q=367,a=522,e=136,t=577,h=957,j=481 | p=1621,r=437,rho=437,q=276,a=826,e=18,t=204,h=1335,j=1198 | p=2011,r=1391,rho=619,q=222,a=530,e=564,t=1669,h=615,j=756"
1024,448477,3,1049;1069;1669,"p=1049,r=554,rho=494,q=427,a=876,e=668,t=365,h=628,j=680 | p=1069,r=566,rho=502,q=419,a=369,e=358,t=299,h=180,j=0 | p=1669,r=1185,rho=483,q=268,a=1550,e=410,t=1653,h=1654,j=347"
1024,451314,3,1069;1129;1499,"p=1069,r=196,rho=196,q=422,a=848,e=326,t=477,h=317,j=159 | p=1129,r=843,rho=285,q=399,a=1060,e=308,t=659,h=609,j=119 | p=1499,r=115,rho=115,q=301,a=1150,e=142,t=756,h=487,j=951"
1024,463149,3,1049;1741;2011,"p=1049,r=540,rho=508,q=441,a=6,e=468,t=190,h=134,j=863 | p=1741,r=43,rho=43,q=266,a=598,e=437,t=13,h=880,j=312 | p=2011,r=619,rho=619,q=230,a=530,e=564,t=1669,h=615,j=2001"
1024,474739,3,1433;1559;1949,"p=1433,r=416,rho=416,q=331,a=1211,e=1157,t=1388,h=525,j=1022 | p=1559,r=803,rho=755,q=304,a=1545,e=613,t=1056,h=755,j=1006 | p=1949,r=1132,rho=816,q=243,a=835,e=1380,t=13,h=1527,j=1357"
1024,502306,3,1129;1523;1621,"p=1129,r=1030,rho=98,q=444,a=17,e=918,t=373,h=949,j=301 | p=1523,r=1239,rho=283,q=329,a=1250,e=755,t=231,h=767,j=1302 | p=1621,r=1417,rho=203,q=309,a=1502,e=566,t=512,h=1447,j=1426"
1024,505919,3,1523;1559;1619,"p=1523,r=283,rho=283,q=332,a=1250,e=755,t=231,h=767,j=923 | p=1559,r=803,rho=755,q=324,a=1545,e=613,t=1056,h=755,j=91 | p=1619,r=791,rho=791,q=312,a=924,e=1577,t=726,h=1586,j=110"
1024,513596,3,1097;1129;1217,"p=1097,r=200,rho=200,q=468,a=206,e=689,t=465,h=634,j=648 | p=1129,r=1030,rho=98,q=454,a=17,e=918,t=373,h=949,j=128 | p=1217,r=22,rho=22,q=422,a=522,e=136,t=577,h=957,j=1215"
1024,514272,3,1499;1531;1873,"p=1499,r=115,rho=115,q=343,a=1150,e=142,t=756,h=487,j=1428 | p=1531,r=1387,rho=143,q=335,a=1453,e=352,t=1070,h=1099,j=762 | p=1873,r=1070,rho=802,q=274,a=1610,e=371,t=1542,h=1642,j=1679"
1024,522628,3,1129;1427;1433,"p=1129,r=1030,rho=98,q=462,a=17,e=918,t=373,h=949,j=307 | p=1427,r=346,rho=346,q=366,a=611,e=128,t=460,h=1131,j=1286 | p=1433,r=1016,rho=416,q=364,a=1211,e=1157,t=1388,h=525,j=946"
1024,533933,3,1069;1559;1873,"p=1069,r=502,rho=502,q=499,a=369,e=358,t=299,h=180,j=691 | p=1559,r=755,rho=755,q=342,a=1545,e=613,t=1056,h=755,j=1300 | p=1873,r=128,rho=128,q=285,a=884,e=1703,t=1098,h=77,j=365"
1024,538631,3,1049;1129;1847,"p=1049,r=494,rho=494,q=513,a=876,e=668,t=365,h=628,j=461 | p=1129,r=98,rho=98,q=477,a=17,e=918,t=373,h=949,j=481 | p=1847,r=1154,rho=692,q=291,a=1394,e=567,t=282,h=173,j=875"
1024,544021,3,1217;1499;1759,"p=1217,r=22,rho=22,q=447,a=522,e=136,t=577,h=957,j=1033 | p=1499,r=1383,rho=115,q=362,a=1150,e=142,t=756,h=487,j=749 | p=1759,r=490,rho=490,q=309,a=1352,e=1560,t=1445,h=1532,j=1378"
1024,553594,3,1229;1741;1759,"p=1229,r=544,rho=544,q=450,a=195,e=594,t=557,h=203,j=813 | p=1741,r=1697,rho=43,q=317,a=598,e=437,t=13,h=880,j=1377 | p=1759,r=1268,rho=490,q=314,a=1352,e=1560,t=1445,h=1532,j=1392"
1024,578361,3,1087;1381;1447,"p=1087,r=77,rho=77,q=532,a=650,e=24,t=184,h=562,j=684 | p=1381,r=1103,rho=277,q=418,a=317,e=477,t=993,h=13,j=367 | p=1447,r=1008,rho=438,q=399,a=1264,e=941,t=7,h=1071,j=873"
1024,594278,3,1049;1433;1447,"p=1049,r=544,rho=504,q=566,a=601,e=457,t=252,h=333,j=965 | p=1433,r=1016,rho=416,q=414,a=1211,e=1157,t=1388,h=525,j=340 | p=1447,r=1008,rho=438,q=410,a=1264,e=941,t=7,h=1071,j=31"
1024,597526,3,1129;1489;1949,"p=1129,r=285,rho=285,q=529,a=1060,e=308,t=659,h=609,j=875 | p=1489,r=437,rho=437,q=401,a=444,e=122,t=76,h=316,j=465 | p=1949,r=1132,rho=816,q=306,a=835,e=1380,t=13,h=1527,j=1164"
1024,634606,3,1709;1723;1931,"p=1709,r=567,rho=567,q=371,a=1080,e=1278,t=879,h=442,j=1248 | p=1723,r=542,rho=542,q=368,a=1346,e=366,t=396,h=1270,j=1014 | p=1931,r=1238,rho=692,q=328,a=1927,e=519,t=1227,h=587,j=1241"
1024,676110,3,1049;1069;2011,"p=1049,r=554,rho=494,q=644,a=876,e=668,t=365,h=628,j=528 | p=1069,r=502,rho=502,q=632,a=369,e=358,t=299,h=180,j=237 | p=2011,r=414,rho=414,q=336,a=636,e=1474,t=373,h=1402,j=322"
1024,683888,3,1117;1129;1489,"p=1117,r=284,rho=284,q=612,a=458,e=604,t=975,h=959,j=845 | p=1129,r=843,rho=285,q=605,a=1060,e=308,t=659,h=609,j=784 | p=1489,r=437,rho=437,q=459,a=444,e=122,t=76,h=316,j=148"
1024,713864,3,1049;1487;1723,"p=1049,r=544,rho=504,q=680,a=601,e=457,t=252,h=333,j=602 | p=1487,r=104,rho=104,q=480,a=716,e=579,t=1360,h=1241,j=273 | p=1723,r=542,rho=542,q=414,a=1346,e=366,t=396,h=1270,j=795"
1024,716629,3,1129;1487;1831,"p=1129,r=843,rho=285,q=634,a=1060,e=308,t=659,h=609,j=1045 | p=1487,r=1382,rho=104,q=481,a=716,e=579,t=1360,h=1241,j=157 | p=1831,r=708,rho=708,q=391,a=592,e=1194,t=1751,h=383,j=1016"
1024,732895,3,1499;1621;1823,"p=1499,r=1383,rho=115,q=488,a=1150,e=142,t=756,h=487,j=548 | p=1621,r=203,rho=203,q=452,a=1502,e=566,t=512,h=1447,j=713 | p=1823,r=49,rho=49,q=402,a=475,e=293,t=1416,h=1618,j=504"
